运输方式,路线,价格,环比,日期
整车运输-13,合肥-南京,2082元/整车,0.92%,2022/5/4
整车运输-13,合肥-南京,2082元/整车,0.92%,2022/4/27
整车运输-13,合肥-南京,2082元/整车,0.92%,2022/4/20
整车运输-13,合肥-南京,2082元/整车,0.92%,2022/4/13
整车运输-13,合肥-南京,2082元/整车,0.92%,2022/2/23
整车运输-13,合肥-南京,2082元/整车,0.92%,2022/2/9
整车运输-13,合肥-南京,2082元/整车,0.92%,2022/2/2
整车运输-13,合肥-南京,2082元/整车,0.92%,2022/1/26
整车运输-13,合肥-南京,2082元/整车,0.92%,2022/1/5
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/9/8
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/8/18
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/8/11
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/8/4
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/7/28
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/7/21
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/7/14
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/7/7
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/6/30
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/6/23
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/6/16
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/6/9
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/6/2
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/5/26
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/5/19
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/5/12
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/5/5
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/4/28
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/4/21
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/4/14
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/4/7
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/3/31
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/3/24
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/3/17
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/3/10
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/3/3
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/2/24
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/2/17
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/2/10
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/2/3
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/1/27
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/1/20
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/1/13
整车运输-13,合肥-南京,2082元/整车,0.92%,2021/1/6
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/12/30
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/12/23
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/12/9
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/12/9
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/12/2
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/11/25
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/11/18
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/11/11
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/11/4
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/10/28
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/10/21
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/10/14
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/10/7
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/9/30
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/9/23
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/9/16
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/9/9
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/9/2
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/8/26
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/8/19
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/8/12
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/8/5
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/7/29
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/7/22
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/7/15
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/7/8
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/7/8
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/7/1
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/6/24
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/6/17
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/6/10
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/6/3
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/5/27
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/5/20
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/5/13
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/5/6
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/4/29
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/4/22
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/4/15
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/4/8
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/4/1
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/3/25
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/3/18
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/3/11
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/3/4
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/2/26
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/2/19
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/2/12
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/2/5
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/1/29
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/1/22
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/1/15
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/1/8
整车运输-13,合肥-南京,2082元/整车,0.92%,2020/1/1
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/12/25
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/12/18
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/12/11
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/12/4
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/11/27
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/11/20
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/11/13
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/11/6
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/10/30
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/10/23
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/10/16
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/10/9
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/10/2
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/9/25
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/9/18
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/9/11
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/9/4
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/8/28
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/8/21
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/8/14
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/8/7
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/7/31
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/7/24
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/7/17
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/7/10
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/7/3
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/6/26
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/6/19
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/6/12
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/6/5
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/5/29
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/5/22
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/5/15
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/5/8
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/5/1
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/4/24
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/4/17
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/4/10
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/4/3
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/3/27
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/3/20
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/3/13
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/3/6
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/2/27
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/2/20
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/2/13
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/2/6
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/1/30
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/1/23
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/1/9
整车运输-13,合肥-南京,2082元/整车,0.92%,2019/1/2
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/12/26
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/12/19
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/12/12
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/12/5
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/11/28
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/11/21
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/11/14
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/11/7
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/10/31
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/10/24
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/10/17
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/10/10
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/10/3
整车运输-13,合肥-南京,2082元/整车,0.92%,2018/10/3
整车运输-13,合肥-宁波,2082元/整车,0.92%,2018/10/3
整车运输-13,合肥-宁波,4876元/整车,0.92%,2018/10/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2018/10/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/3/6
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/2/28
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/2/21
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/2/14
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/2/7
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/1/31
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/1/24
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/1/17
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/1/10
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2024/1/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/12/27
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/12/20
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/12/13
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/12/6
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/11/29
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/11/15
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/11/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/11/1
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/10/25
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/10/18
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/10/11
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/10/4
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/9/27
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/9/20
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/9/13
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/9/6
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/8/30
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/8/23
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/8/16
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/8/9
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/8/2
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/7/26
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/7/19
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/7/12
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/7/5
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/6/28
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/6/21
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/6/7
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/5/31
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/5/24
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/5/17
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/5/10
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/5/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/4/26
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/4/19
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/4/12
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/4/5
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/3/29
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/3/15
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/3/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/3/1
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/2/22
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/2/15
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/2/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/2/1
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/1/25
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/1/18
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/1/11
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2023/1/4
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/12/28
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/12/14
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/12/7
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/11/23
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/11/16
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/11/9
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/11/2
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/10/26
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/10/19
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/10/12
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/10/5
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/9/28
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/9/21
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/9/7
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/8/31
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/8/24
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/8/17
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/8/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/7/27
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/7/20
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/7/13
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/7/6
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/6/29
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/6/22
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/6/15
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/6/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/6/1
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/5/25
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/5/18
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/5/11
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/5/4
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/4/27
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/4/20
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/4/13
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/2/23
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/2/9
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/2/2
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/1/26
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2022/1/5
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/9/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/8/18
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/8/11
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/8/4
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/7/28
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/7/21
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/7/14
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/7/7
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/6/30
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/6/23
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/6/16
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/6/9
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/6/2
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/5/26
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/5/19
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/5/12
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/5/5
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/4/28
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/4/21
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/4/14
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/4/7
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/3/31
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/3/24
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/3/17
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/3/10
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/3/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/2/24
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/2/17
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/2/10
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/2/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/1/27
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/1/20
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/1/13
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2021/1/6
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/12/30
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/12/23
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/12/9
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/12/9
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/12/2
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/11/25
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/11/18
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/11/11
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/11/4
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/10/28
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/10/21
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/10/14
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/10/7
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/9/30
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/9/23
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/9/16
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/9/9
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/9/2
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/8/26
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/8/19
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/8/12
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/8/5
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/7/29
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/7/22
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/7/15
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/7/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/7/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/7/1
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/6/24
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/6/17
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/6/10
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/6/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/5/27
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/5/20
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/5/13
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/5/6
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/4/29
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/4/22
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/4/15
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/4/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/4/1
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/3/25
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/3/18
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/3/11
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/3/4
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/2/26
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/2/19
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/2/12
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/2/5
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/1/29
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/1/22
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/1/15
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/1/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2020/1/1
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/12/25
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/12/18
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/12/11
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/12/4
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/11/27
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/11/20
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/11/13
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/11/6
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/10/30
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/10/23
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/10/16
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/10/9
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/10/2
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/9/25
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/9/18
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/9/11
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/9/4
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/8/28
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/8/21
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/8/14
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/8/7
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/7/31
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/7/24
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/7/17
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/7/10
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/7/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/6/26
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/6/19
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/6/12
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/6/5
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/5/29
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/5/22
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/5/15
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/5/8
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/5/1
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/4/24
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/4/17
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/4/10
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/4/3
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/3/27
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/3/20
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/3/13
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/3/6
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/2/27
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/2/20
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/2/13
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/2/6
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/1/30
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/1/23
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/1/9
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2019/1/2
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2018/12/26
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2018/12/19
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2018/12/12
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2018/12/5
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2018/11/28
整车运输-13,合肥-宁波,4876元/整车,-0.53%,2018/11/21
